DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
01/01/2025,"1,839.00","1,872.50","1,838.00","1,858.95",10765.0
02/01/2025,"1,855.30","1,922.85","1,855.30","1,880.35",18445.0
03/01/2025,"1,897.30","1,935.00","1,870.00","1,882.85",14416.0
06/01/2025,"1,899.80","1,899.90","1,841.30","1,855.80",14403.0
07/01/2025,"1,872.00","1,893.90","1,850.00","1,860.80",30469.0
08/01/2025,"1,876.70","1,894.45","1,794.50","1,850.55",10503.0
09/01/2025,"1,841.30","1,870.00","1,832.05","1,850.45",7760.0
10/01/2025,"1,850.00","1,865.70","1,790.05","1,805.15",11176.0
13/01/2025,"1,794.00","1,811.30","1,740.00","1,759.25",11795.0
14/01/2025,"1,750.00","1,794.30","1,746.90","1,787.05",6206.0
15/01/2025,"1,803.35","1,803.35","1,777.70","1,791.00",4159.0
16/01/2025,"1,800.00","1,848.25","1,740.50","1,781.30",18140.0
17/01/2025,"1,781.30","1,799.00","1,770.75","1,779.50",5472.0
20/01/2025,"1,795.80","1,828.95","1,768.55","1,797.45",6376.0
21/01/2025,"1,813.55","1,822.25","1,755.95","1,771.85",5926.0
22/01/2025,"1,768.30","1,772.95","1,725.00","1,736.40",8979.0
23/01/2025,"1,732.00","1,752.95","1,730.70","1,748.30",4179.0
24/01/2025,"1,757.00","1,768.45","1,715.00","1,724.75",5741.0
27/01/2025,"1,700.00","1,817.00","1,670.40","1,764.40",17617.0
28/01/2025,"1,755.00","1,775.00","1,692.60","1,733.45",10430.0
29/01/2025,"1,733.90","1,753.95","1,722.10","1,735.05",5231.0
30/01/2025,"1,761.10","1,789.90","1,742.85","1,776.85",4996.0
31/01/2025,"1,785.00","1,808.05","1,762.50","1,798.30",3864.0
01/02/2025,"1,796.35","1,816.75","1,768.20","1,786.40",4304.0
03/02/2025,"1,786.45","1,817.95","1,720.10","1,730.50",5583.0
04/02/2025,"1,749.85","1,756.25","1,709.10","1,734.40",49777.0
05/02/2025,"1,734.00","1,754.85","1,724.10","1,742.65",72206.0
06/02/2025,"1,757.90","1,809.90","1,720.00","1,734.55",14200.0
07/02/2025,"1,710.00","1,749.45","1,681.00","1,699.95",61524.0
10/02/2025,"1,715.20","1,715.75","1,653.10","1,666.30",5482.0
11/02/2025,"1,667.05","1,667.60","1,580.00","1,609.10",8997.0
12/02/2025,"1,602.75","1,602.75","1,528.35","1,575.05",11803.0
13/02/2025,"1,565.50","1,597.95","1,503.50","1,524.75",10335.0
14/02/2025,"1,531.00","1,543.95","1,362.35","1,490.90",23745.0
17/02/2025,"1,498.40","1,500.00","1,410.55","1,491.10",54781.0
18/02/2025,"1,498.90","1,533.90","1,483.55","1,509.95",63898.0
19/02/2025,"1,509.95","1,525.00","1,490.00","1,515.70",52234.0
20/02/2025,"1,521.65","1,576.80","1,513.15","1,525.90",8268.0
21/02/2025,"1,528.00","1,556.90","1,509.00","1,531.40",6088.0
24/02/2025,"1,539.05","1,539.75","1,479.00","1,490.20",8524.0
25/02/2025,"1,485.75","1,500.05","1,452.55","1,457.15",16000.0
27/02/2025,"1,470.30","1,470.30","1,418.00","1,430.65",4219.0
28/02/2025,"1,421.45","1,469.80","1,372.00","1,414.65",11126.0
03/03/2025,"1,430.00","1,470.00","1,372.10","1,461.00",11908.0
04/03/2025,"1,438.00","1,456.45","1,400.00","1,403.25",12121.0
05/03/2025,"1,414.85","1,445.25","1,394.25","1,416.90",12179.0
06/03/2025,"1,429.90","1,458.60","1,405.00","1,430.40",21434.0
07/03/2025,"1,438.85","1,451.35","1,407.05","1,425.70",26997.0
10/03/2025,"1,438.30","1,455.00","1,384.35","1,406.60",138604.0
11/03/2025,"1,381.50","1,407.75","1,351.00","1,391.90",27261.0
12/03/2025,"1,402.30","1,402.30","1,354.00","1,386.75",24512.0
13/03/2025,"1,367.15","1,411.40","1,335.00","1,353.20",36453.0
17/03/2025,"1,357.15","1,365.00","1,301.00","1,310.80",38503.0
18/03/2025,"1,310.00","1,338.95","1,291.35","1,321.75",35959.0
19/03/2025,"1,333.60","1,359.40","1,326.00","1,352.95",27588.0
20/03/2025,"1,365.25","1,393.95","1,329.55","1,335.05",37601.0
21/03/2025,"1,333.00","1,373.45","1,328.30","1,350.50",41508.0
24/03/2025,"1,368.90","1,419.65","1,357.75","1,373.40",51690.0
25/03/2025,"1,386.55","1,400.00","1,351.00","1,375.95",75871.0
26/03/2025,"1,375.00","1,381.95","1,329.95","1,350.85",33543.0
27/03/2025,"1,348.15","1,348.15","1,240.15","1,266.75",113858.0
28/03/2025,"1,289.70","1,317.00","1,275.00","1,279.10",36682.0
01/04/2025,"1,280.00","1,326.95","1,270.50","1,298.75",19369.0
02/04/2025,"1,310.70","1,319.00","1,278.00","1,306.90",11748.0
03/04/2025,"1,285.60","1,337.85","1,285.60","1,323.20",14179.0
04/04/2025,"1,325.65","1,361.45","1,262.00","1,323.10",49542.0
07/04/2025,"1,249.95","1,265.80","1,210.40","1,235.95",41136.0
08/04/2025,"1,251.00","1,309.95","1,230.85","1,261.15",9840.0
09/04/2025,"1,240.05","1,258.90","1,233.25","1,241.10",8643.0
11/04/2025,"1,253.75","1,349.00","1,253.75","1,333.35",51390.0
15/04/2025,"1,349.80","1,360.90","1,331.30","1,347.00",14460.0
16/04/2025,"1,347.00","1,380.00","1,335.30","1,343.20",17406.0
17/04/2025,"1,355.10","1,355.10","1,331.20","1,335.40",7178.0
21/04/2025,"1,335.40","1,389.90","1,325.00","1,355.30",16235.0
22/04/2025,"1,370.00","1,410.00","1,368.00","1,376.20",25213.0
23/04/2025,"1,389.50","1,409.00","1,365.00","1,399.00",23346.0
24/04/2025,"1,408.00","1,419.90","1,377.10","1,383.60",23784.0
25/04/2025,"1,380.00","1,394.80","1,335.10","1,346.80",13580.0
28/04/2025,"1,357.90","1,367.70","1,321.70","1,346.80",16181.0
29/04/2025,"1,367.00","1,370.00","1,333.00","1,337.00",10019.0
30/04/2025,"1,333.00","1,347.90","1,281.30","1,286.60",21847.0
02/05/2025,"1,285.00","1,328.00","1,266.40","1,272.80",22941.0
05/05/2025,"1,286.50","1,346.90","1,264.40","1,299.20",35070.0
06/05/2025,"1,309.00","1,314.20","1,257.00","1,266.50",18788.0
07/05/2025,"1,257.00","1,277.90","1,220.00","1,239.80",48987.0
08/05/2025,"1,240.30","1,288.40","1,221.20","1,230.90",26723.0
09/05/2025,"1,223.90","1,270.00","1,211.00","1,262.20",23853.0
12/05/2025,"1,300.00","1,365.00","1,288.00","1,342.90",25129.0
13/05/2025,"1,342.90","1,398.00","1,337.20","1,389.50",28129.0
14/05/2025,"1,403.50","1,442.90","1,387.50","1,396.10",36853.0
15/05/2025,"1,407.30","1,454.50","1,396.70","1,435.90",35125.0
16/05/2025,"1,443.10","1,554.80","1,430.10","1,533.90",52660.0
19/05/2025,"1,554.90","1,559.00","1,500.10","1,507.20",30258.0
20/05/2025,"1,507.20","1,518.00","1,455.10","1,464.50",17079.0
21/05/2025,"1,476.50","1,494.60","1,453.90","1,473.80",14439.0
22/05/2025,"1,470.00","1,489.80","1,459.10","1,481.10",7605.0
23/05/2025,"1,481.10","1,487.00","1,456.10","1,467.90",10441.0
26/05/2025,"1,482.00","1,512.00","1,459.70","1,495.20",39422.0
27/05/2025,"1,495.20","1,626.90","1,488.50","1,550.40",114446.0
28/05/2025,"1,573.70","1,587.00","1,536.80","1,576.20",27171.0
29/05/2025,"1,570.20","1,582.60","1,551.70","1,578.70",19814.0
30/05/2025,"1,570.00","1,634.80","1,570.00","1,602.90",44632.0
02/06/2025,"1,617.30","1,629.10","1,515.00","1,565.90",44642.0
03/06/2025,"1,578.40","1,604.40","1,562.20","1,595.50",18094.0
04/06/2025,"1,587.50","1,637.00","1,585.40","1,602.00",33300.0
05/06/2025,"1,595.00","1,650.00","1,590.90","1,621.80",20420.0
06/06/2025,"1,637.20","1,660.00","1,599.00","1,603.30",13448.0
09/06/2025,"1,605.00","1,624.00","1,581.10","1,588.20",11202.0
10/06/2025,"1,596.10","1,618.80","1,564.20","1,574.20",14680.0
11/06/2025,"1,574.90","1,630.00","1,574.90","1,619.60",17494.0
12/06/2025,"1,619.60","1,619.60","1,570.00","1,575.50",7939.0
13/06/2025,"1,560.00","1,561.70","1,536.30","1,541.80",12517.0
16/06/2025,"1,534.10","1,540.00","1,497.50","1,505.90",23615.0
17/06/2025,"1,500.00","1,550.00","1,488.40","1,502.90",21422.0
18/06/2025,"1,502.90","1,528.70","1,490.00","1,498.10",12949.0
19/06/2025,"1,491.00","1,504.00","1,456.60","1,463.70",10569.0
20/06/2025,"1,458.10","1,490.00","1,452.00","1,466.30",10624.0
23/06/2025,"1,459.10","1,484.90","1,455.20","1,471.30",9479.0
24/06/2025,"1,485.50","1,536.20","1,473.10","1,518.70",14239.0
25/06/2025,"1,515.00","1,559.00","1,511.10","1,521.90",9397.0
26/06/2025,"1,516.00","1,577.40","1,516.00","1,567.30",13421.0
27/06/2025,"1,568.00","1,660.00","1,556.40","1,615.80",142699.0
30/06/2025,"1,613.90","1,642.00","1,605.00","1,610.80",20334.0
01/07/2025,"1,610.80","1,629.40","1,591.80","1,617.50",15369.0
02/07/2025,"1,620.00","1,628.80","1,575.10","1,578.90",21875.0
03/07/2025,"1,580.00","1,595.00","1,557.60","1,568.30",12948.0
04/07/2025,"1,578.90","1,593.10","1,537.00","1,544.00",19074.0
07/07/2025,"1,545.00","1,598.90","1,538.60","1,566.20",35385.0
08/07/2025,"1,566.20","1,577.10","1,530.10","1,535.70",21540.0
09/07/2025,"1,551.10","1,562.00","1,542.00","1,556.40",8529.0
10/07/2025,"1,566.90","1,577.00","1,539.10","1,548.50",11865.0
11/07/2025,"1,551.60","1,551.60","1,520.00","1,526.80",11057.0
14/07/2025,"1,537.20","1,546.50","1,508.20","1,515.10",12786.0
15/07/2025,"1,529.50","1,540.00","1,511.80","1,519.80",14496.0
16/07/2025,"1,530.40","1,548.00","1,519.80","1,521.70",13349.0
17/07/2025,"1,535.00","1,548.00","1,514.70","1,518.30",15789.0
18/07/2025,"1,519.90","1,533.00","1,488.00","1,491.50",18116.0
21/07/2025,"1,502.80","1,505.00","1,486.10","1,494.00",33618.0
22/07/2025,"1,486.00","1,540.90","1,486.00","1,506.40",25604.0
23/07/2025,"1,506.40","1,514.60","1,490.10","1,505.40",7014.0
24/07/2025,"1,505.40","1,520.80","1,486.10","1,497.90",10107.0
25/07/2025,"1,506.00","1,506.00","1,470.00","1,473.60",11873.0
28/07/2025,"1,455.60","1,481.50","1,430.00","1,439.70",12680.0
29/07/2025,"1,425.10","1,454.90","1,414.20","1,431.30",14603.0
30/07/2025,"1,442.00","1,455.90","1,430.00","1,437.30",6486.0
31/07/2025,"1,415.70","1,459.00","1,410.50","1,429.30",9739.0
01/08/2025,"1,435.00","1,442.90","1,401.30","1,410.90",5361.0
04/08/2025,"1,424.40","1,424.50","1,381.70","1,404.80",9895.0
05/08/2025,"1,418.50","1,424.00","1,390.20","1,400.20",8609.0
06/08/2025,"1,402.90","1,404.70","1,375.00","1,377.90",5483.0
07/08/2025,"1,389.90","1,421.70","1,355.00","1,385.20",8751.0
08/08/2025,"1,398.90","1,429.60","1,381.60","1,414.40",7509.0
11/08/2025,"1,421.00","1,423.70","1,365.00","1,382.40",8535.0
12/08/2025,"1,382.40","1,424.20","1,341.10","1,351.70",17426.0
13/08/2025,"1,352.00","1,360.00","1,327.20","1,335.30",32665.0
14/08/2025,"1,348.00","1,376.10","1,338.10","1,370.40",8656.0
18/08/2025,"1,389.00","1,400.80","1,367.20","1,373.70",7615.0
19/08/2025,"1,387.00","1,453.80","1,375.00","1,441.40",15115.0
20/08/2025,"1,445.00","1,455.60","1,415.50","1,427.70",17052.0
21/08/2025,"1,440.00","1,448.90","1,403.80","1,417.80",7701.0
22/08/2025,"1,415.10","1,425.00","1,382.00","1,385.70",9836.0
25/08/2025,"1,399.00","1,467.00","1,391.60","1,402.60",43533.0
26/08/2025,"1,409.70","1,413.80","1,370.00","1,376.20",15759.0
28/08/2025,"1,361.10","1,410.40","1,360.00","1,394.60",18670.0
29/08/2025,"1,390.00","1,410.80","1,360.00","1,361.80",30193.0
01/09/2025,"1,460.00","1,460.00","1,381.00","1,386.00",163808.0
02/09/2025,"1,400.00","1,427.10","1,385.70","1,390.00",84047.0
03/09/2025,"1,381.00","1,409.00","1,381.00","1,399.30",23851.0
04/09/2025,"1,410.00","1,449.30","1,385.00","1,390.10",130598.0
05/09/2025,"1,392.00","1,420.00","1,383.10","1,386.90",35357.0
08/09/2025,"1,429.00","1,429.00","1,380.90","1,390.30",37939.0
09/09/2025,"1,403.50","1,411.00","1,380.10","1,405.50",26867.0
10/09/2025,"1,405.50","1,412.00","1,382.90","1,387.20",39219.0
11/09/2025,"1,385.00","1,396.60","1,375.40","1,386.80",26199.0
12/09/2025,"1,382.40","1,404.90","1,382.40","1,396.70",28866.0
15/09/2025,"1,390.00","1,442.20","1,390.00","1,400.70",87702.0
16/09/2025,"1,411.90","1,424.00","1,396.30","1,399.70",73493.0
17/09/2025,"1,401.00","1,405.00","1,387.00","1,396.40",33485.0
18/09/2025,"1,410.00","1,410.10","1,381.50","1,387.90",39629.0
19/09/2025,"1,398.50","1,399.00","1,376.50","1,379.30",41258.0
22/09/2025,"1,386.00","1,396.50","1,377.00","1,385.50",45783.0
23/09/2025,"1,389.70","1,389.70","1,373.00","1,377.30",27756.0
24/09/2025,"1,377.20","1,386.00","1,369.80","1,376.90",20544.0
25/09/2025,"1,370.50","1,376.90","1,341.60","1,348.50",21399.0
26/09/2025,"1,352.00","1,355.30","1,323.20","1,327.40",21281.0
29/09/2025,"1,334.10","1,337.50","1,310.00","1,313.30",26095.0
30/09/2025,"1,318.00","1,326.00","1,281.30","1,294.00",39805.0
01/10/2025,"1,310.00","1,311.00","1,290.60","1,298.80",91243.0
03/10/2025,"1,310.00","1,310.00","1,294.00","1,297.80",151916.0
06/10/2025,"1,310.00","1,423.10","1,308.40","1,385.40",275911.0
07/10/2025,"1,395.00","1,402.00","1,336.90","1,343.00",74940.0
08/10/2025,"1,353.70","1,357.30","1,305.00","1,311.20",53931.0
09/10/2025,"1,324.00","1,337.10","1,310.70","1,316.70",51602.0
10/10/2025,"1,323.30","1,344.80","1,320.10","1,338.10",37658.0
13/10/2025,"1,345.00","1,345.00","1,304.40","1,317.50",53577.0
14/10/2025,"1,346.00","1,346.00","1,299.90","1,304.10",70890.0
15/10/2025,"1,313.90","1,319.80","1,290.00","1,296.60",195593.0
16/10/2025,"1,316.60","1,349.90","1,311.60","1,327.00",174310.0
17/10/2025,133.1,133.4,125.5,126.1,1247970.0
20/10/2025,125.4,125.7,121.3,122.9,725428.0
21/10/2025,123.4,124.9,122.5,124.1,225599.0
23/10/2025,126.9,129,124.2,125.1,593719.0
24/10/2025,125.1,127.9,124.2,126.8,288371.0
27/10/2025,128.5,129.1,126.6,127.3,269687.0
28/10/2025,128.3,128.6,124.2,125,397192.0
29/10/2025,125,125.5,121.9,122.8,807765.0
30/10/2025,123,124.1,122.1,122.5,356439.0
31/10/2025,122.6,124.4,120,122,331251.0
03/11/2025,123.2,123.7,122.01,122.83,197177.0
04/11/2025,123.5,123.59,119.62,120.47,371671.0
06/11/2025,121,121,111,111.93,1045409.0
07/11/2025,112.6,115.54,110.66,114.17,571026.0
10/11/2025,115.4,115.4,111.1,111.46,406641.0
11/11/2025,110.95,113.21,108.31,111.87,633092.0
12/11/2025,112.01,115.5,110.48,114.19,369805.0
13/11/2025,114,114,111,111.34,332315.0
14/11/2025,111.4,111.5,109.9,110.57,279374.0
17/11/2025,110.01,110.86,107.8,109.46,691281.0
18/11/2025,109.46,109.99,107.21,107.63,295884.0
19/11/2025,108.2,108.21,105.25,106.13,449302.0
20/11/2025,106.2,106.7,103.35,103.69,522918.0
21/11/2025,104.2,104.2,102.26,102.74,383354.0
24/11/2025,102.68,103.35,99.79,100.44,2207226.0
25/11/2025,100.54,109.13,100,104.29,2004631.0
26/11/2025,105.11,105.11,102.14,103.73,737424.0
27/11/2025,104.24,106.36,103.78,104.58,407660.0
28/11/2025,104.8,105.06,101.76,102.02,389460.0
01/12/2025,102.84,106,102.02,103.92,605202.0
02/12/2025,103.92,105.4,102.77,104.82,326283.0
03/12/2025,105.4,105.4,101.7,101.98,313415.0
04/12/2025,101.98,107.83,101.7,105.96,1944704.0
05/12/2025,106,111,105.54,109.15,1301290.0
08/12/2025,111,129.77,109.94,123.67,27142677.0
09/12/2025,122.5,128.9,115.35,123.73,21306111.0
10/12/2025,122,127.83,119.41,123.2,7479684.0
11/12/2025,124.57,131.47,120.56,128.36,7824466.0
12/12/2025,127.5,138.5,125.71,133.3,12541131.0
15/12/2025,133.31,134.9,129.06,132.69,2623697.0
16/12/2025,132,133.22,130.5,132.14,1281580.0
17/12/2025,131.6,132.3,126.11,128.77,1925886.0
18/12/2025,129.57,129.98,125,125.52,936707.0
19/12/2025,125,128.73,125,127.23,642082.0
22/12/2025,128.85,130,126.64,129.39,790266.0
23/12/2025,130.08,134.7,128.91,130.44,3622358.0
24/12/2025,131.9,134.69,127,128.21,1593956.0
26/12/2025,129.11,129.2,125.51,125.9,489157.0
29/12/2025,126.6,129.3,125.9,127.99,896350.0
30/12/2025,128,128.49,125.15,127.9,336905.0
31/12/2025,129,129.98,127.22,128.77,521488.0
01/01/2026,130,130,127.32,127.99,311844.0
01/01/2026,130,130,127.32,127.99,311844.0
02/01/2026,127.9,137.75,127.76,134.23,4248096.0
05/01/2026,135.32,135.32,128.3,129.25,1444154.0
06/01/2026,130.28,130.39,125.58,126.24,834504.0
07/01/2026,127.25,127.25,123.47,125.7,836083.0
08/01/2026,126.3,126.89,123.07,125.19,708851.0
09/01/2026,125.19,125.19,120.1,123.06,913099.0
12/01/2026,123,123,118.21,120.33,1037202.0
13/01/2026,121.53,123.64,120.75,122.77,443309.0
14/01/2026,122.63,122.63,120,120.53,480336.0
16/01/2026,120.3,120.83,119,119.47,385510.0
19/01/2026,119.35,124.5,118.53,122.36,861948.0
20/01/2026,124.49,124.49,114.4,118,880943.0
21/01/2026,116.25,120.08,116.25,119.11,601736.0
22/01/2026,119,122.4,118.85,121.7,300259.0
23/01/2026,122.85,122.85,118.27,119.92,277330.0
27/01/2026,122,122,117,120.47,399335.0
28/01/2026,121.57,124.87,121.07,124.42,448336.0
29/01/2026,124.42,124.7,120,124,432979.0
30/01/2026,122.15,127.7,120,121.2,278194.0
01/02/2026,123.02,124,119.23,120.55,207054.0
02/02/2026,119.6,122.35,116.55,121.46,314293.0
03/02/2026,133.32,138,125.1,125.7,1678578.0
04/02/2026,125.79,131.01,124.31,126.86,612345.0
05/02/2026,126.91,128.47,124.73,125.78,319012.0
06/02/2026,124.3,127.5,124.2,125.71,179778.0
09/02/2026,126.4,130.49,125.13,128.25,1962891.0
10/02/2026,130.5,133.7,129.83,131.57,1527094.0
11/02/2026,131.99,147.5,130.65,144.78,9909901.0
12/02/2026,145.42,149.4,141.61,144.35,2625721.0
13/02/2026,143,145.98,136.51,138.32,1245906.0
16/02/2026,138.45,143.29,137.15,138.82,1127048.0
17/02/2026,138.5,145,138,143.28,986998.0
18/02/2026,144.6,151.95,144.6,145.44,2501419.0
19/02/2026,145.59,147.98,141.6,142.74,745049.0
20/02/2026,142.74,142.9,139.82,141.1,446460.0
23/02/2026,141.49,142.66,136.62,140.55,691967.0
24/02/2026,140.55,141.64,136.71,138.87,457582.0
25/02/2026,138.92,142.47,137,140.87,898278.0
26/02/2026,140.87,140.96,134.68,137.12,566707.0
27/02/2026,136.25,138.47,132,134.51,560797.0
02/03/2026,129.9,134.32,127.7,131.51,702984.0
04/03/2026,131,131,122.2,125.33,497024.0
05/03/2026,126.05,126.7,122.37,125.2,434248.0
06/03/2026,125.2,126.67,121.32,121.87,367761.0
09/03/2026,119.5,120,116.32,118.31,449559.0
10/03/2026,122.13,122.21,118.1,121.96,387461.0
11/03/2026,122.5,125.5,120.4,122.89,801667.0
12/03/2026,121.91,123.56,118.24,122.06,439437.0
13/03/2026,121.01,121.05,114.3,115.21,543309.0
16/03/2026,115.21,117.88,113.6,116.98,515723.0
16/03/2026,115.21,117.88,113.6,116.98,515723.0
17/03/2026,117.58,117.77,115.83,116.69,277653.0
17/03/2026,117.58,117.77,115.83,116.69,277653.0
18/03/2026,116.69,122.0,115.98,121.34,345703.0
18/03/2026,116.69,122.0,115.98,121.34,345703.0
19/03/2026,119.0,119.85,117.0,117.72,245764.0
19/03/2026,119.0,119.85,117.0,117.72,245764.0
20/03/2026,118.3,123.54,118.0,119.14,549786.0
20/03/2026,118.3,123.54,118.0,119.14,549786.0
23/03/2026,117.0,117.0,111.1,112.4,443351.0
23/03/2026,117.0,117.0,111.1,112.4,443351.0
24/03/2026,117.4,117.4,112.62,115.1,438959.0
24/03/2026,117.4,117.4,112.62,115.1,438959.0
25/03/2026,115.45,120.06,115.4,118.41,641272.0
25/03/2026,115.45,120.06,115.4,118.41,641272.0
27/03/2026,119.6,120.24,112.01,115.33,931951.0
30/03/2026,114.5,115.36,110.07,111.0,470939.0
01/04/2026,115.25,118.35,114.9,116.67,299335.0
01/04/2026,115.25,118.35,114.9,116.67,299335.0
02/04/2026,113.81,118.85,113.0,118.2,252219.0
